delta_t (s),V_z_low (V),V_z_high (V),V_z_avg (V)
1.00E-03,8.16,8.24,8.20
2.00E-03,7.52,7.60,7.56
3.00E-03,6.88,6.96,6.92
4.00E-03,6.24,6.32,6.28
5.00E-03,5.60,5.68,5.64
6.00E-03,4.96,5.04,5.00
7.00E-03,4.32,4.48,4.40
8.00E-03,3.76,3.84,3.80
9.00E-03,3.12,3.20,3.16
1.00E-02,2.54,2.60,2.57
1.10E-02,2.02,2.10,2.06
1.20E-02,1.58,1.66,1.62
1.30E-02,1.30,1.36,1.33
1.40E-02,1.20,1.26,1.23
1.50E-02,1.24,1.30,1.27
1.60E-02,1.30,1.42,1.36
1.70E-02,1.60,1.66,1.63
1.80E-02,1.86,1.92,1.89
1.90E-02,2.12,2.20,2.16
2.00E-02,2.38,2.46,2.42
2.10E-02,2.68,2.76,2.72
2.20E-02,2.96,3.00,2.98
2.30E-02,3.13,3.28,3.21
2.40E-02,3.36,3.52,3.44
2.50E-02,3.63,3.72,3.68
2.60E-02,3.84,3.92,3.88
2.70E-02,4.04,4.12,4.08
2.80E-02,4.24,4.32,4.28
2.90E-02,4.40,4.52,4.46
3.00E-02,4.64,4.72,4.68
3.10E-02,4.80,4.96,4.88
3.20E-02,5.04,5.12,5.08
3.30E-02,5.20,5.28,5.24
3.40E-02,5.36,5.44,5.40
3.50E-02,5.52,5.60,5.56
3.60E-02,5.68,5.76,5.72
3.70E-02,5.84,5.92,5.88
3.80E-02,6.00,6.08,6.04
3.90E-02,6.16,6.24,6.20
4.00E-02,6.32,6.40,6.36
4.10E-02,6.48,6.56,6.52
4.20E-02,6.56,6.64,6.60
4.30E-02,6.72,6.80,6.76
4.40E-02,6.80,6.88,6.84
4.50E-02,6.88,6.96,6.92
4.60E-02,6.92,7.00,6.96
4.70E-02,7.08,7.12,7.10
4.80E-02,7.16,7.24,7.20
4.90E-02,7.24,7.28,7.26
5.00E-02,7.36,7.40,7.38
5.10E-02,7.44,7.48,7.46
5.20E-02,7.60,7.68,7.64
5.30E-02,7.68,7.76,7.72
5.40E-02,7.76,7.84,7.80
5.50E-02,7.84,7.92,7.88
5.60E-02,8.00,8.08,8.04
5.70E-02,8.08,8.16,8.12
6.00E-02,8.16,8.32,8.24
6.30E-02,8.40,8.48,8.44
6.60E-02,8.64,8.72,8.68
6.90E-02,8.72,8.88,8.80
7.20E-02,8.96,9.04,9.00
7.50E-02,9.04,9.12,9.08
7.80E-02,9.20,9.28,9.24
8.10E-02,9.28,9.44,9.36
8.40E-02,9.44,9.52,9.48
8.70E-02,9.52,9.60,9.56
9.00E-02,9.60,9.68,9.64
9.30E-02,9.68,9.76,9.72
9.60E-02,9.76,9.92,9.84
9.90E-02,9.84,10.00,9.92