delta_t,V_echo_low,V_echo_high,V_echo_avg
1E-03,15.20,15.30,15.25
2E-03,13.60,13.70,13.65
3E-03,12.20,12.30,12.25
4E-03,11.00,11.10,11.05
5E-03,10.00,10.10,10.05
6E-03,9.04,9.12,9.08
7E-03,8.16,8.32,8.24
8E-03,7.36,7.52,7.44
9E-03,6.64,6.80,6.72
1E-02,6.08,6.16,6.12
1.1E-02,5.36,5.52,5.44
1.2E-02,4.80,4.96,4.88
1.3E-02,4.32,4.48,4.40
1.4E-02,3.84,4.00,3.92
1.5E-02,3.44,3.52,3.48
1.6E-02,2.96,3.12,3.04
1.7E-02,2.66,2.80,2.73
1.8E-02,2.36,2.48,2.42
1.9E-02,2.10,2.14,2.12
2E-02,1.78,1.86,1.82
2.1E-02,1.56,1.60,1.58
2.2E-02,1.32,1.38,1.35
2.3E-02,1.16,1.20,1.18
2.4E-02,1.00,1.04,1.02
2.5E-02,0.86,0.90,0.88
2.6E-02,0.74,0.78,0.76
2.7E-02,0.66,0.68,0.67
2.8E-02,0.54,0.58,0.56
2.9E-02,0.50,0.52,0.51
3E-02,0.42,0.46,0.44
3.1E-02,0.35,0.38,0.37
3.2E-02,0.32,0.34,0.33
3.3E-02,0.27,0.30,0.28
3.4E-02,0.24,0.26,0.25
3.5E-02,0.21,0.23,0.22
3.6E-02,0.16,0.19,0.18